CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
CHL,Chile,POLIO,IPV1_FRAC,2018.0,0.08108108108108109,0.0,-0.08108108108108109,-100.0
CHL,Chile,POLIO,IPV2,2020.0,0.07692307692307693,0.0,-0.07692307692307693,-100.0
CHL,Chile,POLIO,IPV2_FRAC,2018.0,0.08108108108108109,0.0,-0.08108108108108109,-100.0
CHN,China,POLIO,IPV1,2014.0,1431.1764705882354,0.125,-1431.0514705882354,-99.99126592683929
CHN,China,POLIO,IPV1_FRAC,2018.0,1280.5263157894738,0.25,-1280.2763157894738,-99.98047677764077
CHN,China,POLIO,IPV2,2021.0,1186.8536585365853,0.0,-1186.8536585365853,-100.0
CHN,China,POLIO,IPV2_FRAC,2018.0,1280.5263157894738,0.25,-1280.2763157894738,-99.98047677764077
CIV,Côte d'Ivoire,POLIO,IPV1,2014.0,17.166666666666668,7.777777777777778,-9.38888888888889,-54.692556634304204
CIV,Côte d'Ivoire,POLIO,IPV1_FRAC,2018.0,15.147058823529411,14.0,-1.1470588235294112,-7.57281553398058
CIV,Côte d'Ivoire,POLIO,IPV2,2021.0,15.64864864864865,3.0,-12.64864864864865,-80.82901554404145
CIV,Côte d'Ivoire,POLIO,IPV2_FRAC,2018.0,15.147058823529411,14.0,-1.1470588235294112,-7.57281553398058
CMR,Cameroon,POLIO,IPV1,2014.0,55.470588235294116,2.0,-53.470588235294116,-96.39448568398727
CMR,Cameroon,POLIO,IPV1_FRAC,2018.0,49.76315789473684,2.6,-47.16315789473684,-94.77525118984664
CMR,Cameroon,POLIO,IPV2,2021.0,46.292682926829265,3.0,-43.292682926829265,-93.51949420442571
CMR,Cameroon,POLIO,IPV2_FRAC,2018.0,49.76315789473684,2.6,-47.16315789473684,-94.77525118984664
COD,Democratic Republic of the Congo,POLIO,IPV1,2014.0,114.9090909090909,96.9,-18.0090909090909,-15.672468354430372
COD,Democratic Republic of the Congo,POLIO,IPV1_FRAC,2018.0,103.08108108108108,157.83333333333334,54.75225225225226,53.1157140360077
COD,Democratic Republic of the Congo,POLIO,IPV2,2021.0,100.075,252.66666666666666,152.59166666666664,152.47730868515276
COD,Democratic Republic of the Congo,POLIO,IPV2_FRAC,2018.0,103.08108108108108,157.83333333333334,54.75225225225226,53.1157140360077
COG,Congo,POLIO,IPV1,2014.0,20.91176470588235,0.7777777777777778,-20.133986928104573,-96.2806688545085
COG,Congo,POLIO,IPV1_FRAC,2018.0,18.763157894736842,1.0,-17.763157894736842,-94.67040673211781
COG,Congo,POLIO,IPV2,2021.0,17.4390243902439,1.5,-15.939024390243901,-91.3986013986014
COG,Congo,POLIO,IPV2_FRAC,2018.0,18.763157894736842,1.0,-17.763157894736842,-94.67040673211781
COL,Colombia,POLIO,IPV1,2014.0,31.529411764705884,0.0,-31.529411764705884,-100.0
COL,Colombia,POLIO,IPV1_FRAC,2018.0,28.210526315789473,0.0,-28.210526315789473,-100.0
COL,Colombia,POLIO,IPV2,2020.0,26.8,0.0,-26.8,-100.0
COL,Colombia,POLIO,IPV2_FRAC,2018.0,28.210526315789473,0.0,-28.210526315789473,-100.0
COM,Comoros,POLIO,IPV1,2014.0,0.2647058823529412,0.0,-0.2647058823529412,-100.0
COM,Comoros,POLIO,IPV1_FRAC,2018.0,0.23684210526315788,0.0,-0.23684210526315788,-100.0
COM,Comoros,POLIO,IPV2,2021.0,0.21951219512195122,0.0,-0.21951219512195122,-100.0
COM,Comoros,POLIO,IPV2_FRAC,2018.0,0.23684210526315788,0.0,-0.23684210526315788,-100.0
